name,playerId,teamId,teamName,age,height,weight,positionText,season
Yannik Engelhardt,434179,50,Freiburg,25,184,74,Midfielder,2026_27
Stefano Marino,429675,810,Paderborn,22,186,79,Forward,2026_27
David Herold,454351,134,Borussia M.Gladbach,23,185,80,Defender,2026_27
Keita Kosugi,605344,45,Eintracht Frankfurt,20,172,62,Defender,2026_27
Sebastiaan Bornauw,364235,38,Hamburger SV,27,191,81,Defender,2026_27
Steffen Tigges,301066,810,Paderborn,28,193,90,Forward,2026_27
Wouter Burger,361878,1211,Hoffenheim,25,191,83,Midfielder,2026_27
Ludovit Reis,343436,42,Werder Bremen,26,178,78,Midfielder,2026_27
Adil Aouchiche,382491,39,Schalke 04,24,179,74,Midfielder,2026_27
Can Uzun,467776,45,Eintracht Frankfurt,20,186,83,Midfielder,2026_27
Oliver Baumann,77440,1211,Hoffenheim,36,187,82,Goalkeeper,2026_27
Patson Daka,345560,38,Hamburger SV,27,183,71,Forward,2026_27
Paul Okon-Engstler,570078,282,FC Koln,21,186,84,Midfielder,2026_27
Alessio Castro-Montes,317306,282,FC Koln,29,175,67,Midfielder,2026_27
Conrad Harder,538807,7614,RB Leipzig,21,185,71,Forward,2026_27
Benjamin Henrichs,296769,7614,RB Leipzig,29,183,79,Defender,2026_27
Derrick Köhn,400010,796,Union Berlin,27,180,73,Defender,2026_27
Jeff Chabot,343317,41,VfB Stuttgart,28,195,95,Defender,2026_27
Jonathan Tah,134946,37,Bayern Munich,30,195,94,Defender,2026_27
Robin Fellhauer,446529,1730,Augsburg,28,182,75,Midfielder,2026_27
Hasan Kuruçay,435993,39,Schalke 04,29,187,86,Defender,2026_27
Nicolai Remberg,485118,38,Hamburger SV,26,187,88,Midfielder,2026_27
Silvan Widmer,103622,219,Mainz 05,33,183,77,Defender,2026_27
Facundo Medina,330672,36,Bayer Leverkusen,27,184,78,Defender,2026_27
Loïc Badé,398416,36,Bayer Leverkusen,26,191,89,Defender,2026_27
Marin Ljubicic,424374,796,Union Berlin,24,183,78,Forward,2026_27
Aljoscha Kemlein,455785,796,Union Berlin,22,185,78,Midfielder,2026_27
Felix Keidel,438493,1134,Elversberg,23,178,70,Defender,2026_27
Mathieu Nguefack,643385,134,Borussia M.Gladbach,18,172,0,Midfielder,2026_27
Kacper Potulski,573881,219,Mainz 05,18,195,85,Defender,2026_27
Senne Lynen,420405,42,Werder Bremen,27,185,80,Midfielder,2026_27
Cedric Itten,312582,42,Werder Bremen,29,190,84,Forward,2026_27
Max Rosenfelder,496923,50,Freiburg,23,187,85,Defender,2026_27
Raphael Onyedika,425338,45,Eintracht Frankfurt,25,184,78,Midfielder,2026_27
Vitalie Becker,531850,39,Schalke 04,21,179,71,Defender,2026_27
Louis Lemke,607388,38,Hamburger SV,16,0,0,Defender,2026_27
Ransford Königsdörffer,389899,219,Mainz 05,24,182,78,Forward,2026_27
Josip Stanisic,413272,37,Bayern Munich,26,186,77,Defender,2026_27
Marcel Sabitzer,92051,44,Borussia Dortmund,32,178,77,Midfielder,2026_27
Tom Bischof,431282,37,Bayern Munich,21,176,66,Midfielder,2026_27
Bakery Jatta,329689,38,Hamburger SV,28,184,79,Midfielder,2026_27
Lukas Ullrich,444285,134,Borussia M.Gladbach,22,178,69,Defender,2026_27
Jonah Sticker,495281,810,Paderborn,22,180,0,Defender,2026_27
